-- ================================================
-- 🔥 AIMBOT PRO v12 - FATALITY EDITION (FINAL)
-- ✅ All Features + New Crosshair System
-- ✅ Hexagon, Star, Square, Dot, Heart Crosshairs
-- ✅ Crosshair Size, Thickness, Opacity Controls
-- ✅ GUI Size Adjustment + Toggle Lock
-- ================================================

-- ========== SERVICES ==========
local Players = game:GetService("Players")
local RunService = game:GetService("RunService")
local UserInputService = game:GetService("UserInputService")
local TweenService = game:GetService("TweenService")
local Lighting = game:GetService("Lighting")
local HttpService = game:GetService("HttpService")
local CoreGui = game:GetService("CoreGui")
local Stats = game:GetService("Stats")

local LocalPlayer = Players.LocalPlayer
local Camera = workspace.CurrentCamera
local Mouse = LocalPlayer:GetMouse()

local function SafeSet(prop, value)
    pcall(function() Lighting[prop] = value end)
end

-- ========== SETTINGS ==========
local Settings = {
    AimbotEnabled = false,
    AimbotHitbox = "Head",
    AimbotMultipoint = false,
    AimbotMultipointScale = 50,
    FOV = 150,
    Smoothness = 5,
    ShowFOV = true,
    ShowCrosshair = true,
    TeamCheck = false,
    WallCheck = false,
    AimbotMode = "Hold",
    BaimEnabled = false,
    BaimAfterMisses = 0,
    BaimInAir = false,

    -- Crosshair
    CrosshairType = "Heart",
    CrosshairSize = 100,
    CrosshairThickness = 100,
    CrosshairOpacity = 100,
    CrosshairRotation = true,
    CrosshairRotSpeed = 85,
    CrosshairGap = 0,
    CrosshairDotSize = 4,
    CrosshairOutline = true,
    CrosshairOutlineColor = {0, 0, 0},

    -- ESP
    ESPEnabled = false,
    ESPBoxStyle = "2D",
    ESPBoxes = true,
    ESPNames = true,
    ESPHealth = true,
    ESPDistance = false,
    ESPWeapon = false,
    ESPSkeleton = false,
    ESPSnapLines = false,
    ESPTracers = false,
    ESPDormant = false,

    -- Chams
    ChamsEnabled = false,
    ChamsMode = "Visible",
    GlowEnabled = false,

    -- Radar
    RadarEnabled = false,
    RadarSize = 180,
    RadarZoom = 50,

    -- World
    FullBright = false,
    NightMode = false,
    RemoveVisualRecoil = false,
    ThirdPerson = false,
    ThirdPersonZoom = 15,
    CameraFOV = 70,

    -- Anti-Aim
    AntiAimEnabled = false,
    YawMode = "Spin",
    YawOffset = 0,
    YawJitterRange = 45,
    PitchMode = "None",
    SpinSpeed = 5,
    RollAngle = 0,
    ManualAA = "None",
    InverterActive = false,
    Freestanding = false,

    -- Weather
    WeatherEnabled = false,
    WeatherType = "None",
    WeatherIntensity = 50,

    -- Particles
    ParticleSpeed = 5,
    ParticleCount = 60,
    ParticleColor = "Rainbow",

    -- Toggle Button
    ToggleButtonLocked = false,

    -- GUI Size
    GUIScale = 100,

    -- Movement
    WallJump = false,
    BunnyHop = false,
    InfinityJump = false,
    JumpBug = false,
    CircleStrafe = false,
    StrafeInAir = false,
    QuickStop = false,
    WalkSpeedBoost = false,
    WalkSpeedValue = 16,
    JumpPowerBoost = false,
    JumpPowerValue = 50,

    -- Extra
    DisableConsole = false,
    DisableServerAds = false,
    BypassAntiCheat = false,
    ShowFPS = false,
    FakePing = false,
    FakePingValue = 999,
    ShowMS = false,
    ShowPlayerFPS = false,
    ShowPlayerMS = false,
    AutoPeek = false,

    -- Inventory
    ToolESP = false,
    ToolESPName = false,
    ToolESPColor = {50, 255, 50},
    ToolESPNameColor = {255, 255, 255},

    -- Indicator
    TeleportCooldownInd = false,
    InventoryFullWarning = false,
    Compass = false,
    NearbyLoot = false,
    DamageText = false,
    DamageTextColor = {255, 50, 50},
    NearbyEnemy = false,
    NearbyEnemyColor = {255, 50, 50},

    -- Colors
    FOVColor = {180, 100, 255},
    ESPColor = {180, 100, 255},
    CrosshairColor = {255, 80, 180},
    ChamsColor = {180, 50, 255},
    ChamsOutlineColor = {255, 255, 255},
    GlowColor = {180, 100, 255},
    AccentColor = {180, 100, 255},
    SkeletonColor = {255, 255, 255},

    -- World Colors
    WorldSkyColor = {107, 127, 255},
    WorldAmbient = {70, 70, 70},
    WorldFog = false,
    WorldFogColor = {200, 200, 200},
    WorldFogStart = 0,
    WorldFogEnd = 1000,
    WorldBrightness = 1,
}

local function C3(t) return Color3.fromRGB(t[1], t[2], t[3]) end

local AimbotActive = false
local ToggleActive = false
local MissCount = 0

-- ========== CROSSHAIR DRAWING SYSTEM ==========
local CrosshairDrawings = {}
local MAX_CROSSHAIR_DRAWINGS = 200

local function ClearCrosshairDrawings()
    for _, d in ipairs(CrosshairDrawings) do
        pcall(function() d:Remove() end)
    end
    CrosshairDrawings = {}
end

local function NewCrosshairDot()
    local s, d = pcall(Drawing.new, "Circle")
    if s and d then
        d.Filled = true
        d.Visible = false
        d.Transparency = 1
        table.insert(CrosshairDrawings, d)
        return d
    end
    return nil
end

local function NewCrosshairLine()
    local s, l = pcall(Drawing.new, "Line")
    if s and l then
        l.Visible = false
        l.Transparency = 1
        table.insert(CrosshairDrawings, l)
        return l
    end
    return nil
end

-- Generate shape points
local function GetHeartPoints()
    local pts = {}
    for t = 0, 2 * math.pi, 0.15 do
        local x = 14 * (math.sin(t) ^ 3)
        local y = -(11 * math.cos(t) - 4 * math.cos(2 * t) - 2 * math.cos(3 * t) - math.cos(4 * t))
        table.insert(pts, Vector2.new(x, y))
    end
    return pts
end

local function GetHexagonPoints()
    local pts = {}
    for i = 0, 5 do
        local angle = math.rad(60 * i - 30)
        table.insert(pts, Vector2.new(math.cos(angle) * 14, math.sin(angle) * 14))
    end
    return pts
end

local function GetStarPoints()
    local pts = {}
    for i = 0, 9 do
        local angle = math.rad(36 * i - 90)
        local r = (i % 2 == 0) and 16 or 7
        table.insert(pts, Vector2.new(math.cos(angle) * r, math.sin(angle) * r))
    end
    return pts
end

local function GetSquarePoints()
    local pts = {}
    local s = 12
    for x = -s, s, 3 do table.insert(pts, Vector2.new(x, -s)) end
    for y = -s, s, 3 do table.insert(pts, Vector2.new(s, y)) end
    for x = s, -s, -3 do table.insert(pts, Vector2.new(x, s)) end
    for y = s, -s, -3 do table.insert(pts, Vector2.new(-s, y)) end
    return pts
end

local function GetDotPoints()
    return {Vector2.new(0, 0)}
end

local function GetCrosshairPoints(crossType)
    if crossType == "Heart" then return GetHeartPoints()
    elseif crossType == "Hexagon" then return GetHexagonPoints()
    elseif crossType == "Star" then return GetStarPoints()
    elseif crossType == "Square" then return GetSquarePoints()
    elseif crossType == "Dot" then return GetDotPoints()
    end
    return GetHeartPoints()
end

-- Build crosshair drawings
local crosshairPoints = {}
local crosshairDots = {}
local crosshairLines = {}
local crosshairOutlineLines = {}

local function RebuildCrosshair()
    ClearCrosshairDrawings()
    crosshairDots = {}
    crosshairLines = {}
    crosshairOutlineLines = {}

    local cType = Settings.CrosshairType
    crosshairPoints = GetCrosshairPoints(cType)

    if cType == "Dot" then
        local d = NewCrosshairDot()
        if d then table.insert(crosshairDots, d) end
    elseif cType == "Heart" then
        for i = 1, #crosshairPoints do
            local d = NewCrosshairDot()
            if d then table.insert(crosshairDots, d) end
        end
    elseif cType == "Hexagon" or cType == "Star" or cType == "Square" then
        if cType == "Hexagon" or cType == "Star" then
            for i = 1, #crosshairPoints do
                if Settings.CrosshairOutline then
                    local ol = NewCrosshairLine()
                    if ol then table.insert(crosshairOutlineLines, ol) end
                end
                local l = NewCrosshairLine()
                if l then table.insert(crosshairLines, l) end
            end
        else
            for i = 1, #crosshairPoints do
                local d = NewCrosshairDot()
                if d then table.insert(crosshairDots, d) end
            end
        end
    end
end

RebuildCrosshair()

-- ========== FOV CIRCLE ==========
local FOVCircle
local sok, c = pcall(Drawing.new, "Circle")
if sok and c then
    c.Visible = false
    c.Radius = Settings.FOV
    c.Color = C3(Settings.FOVColor)
    c.Thickness = 1.5
    c.Transparency = 1
    c.Filled = false
    FOVCircle = c
end

local function RotateV2(v, angle)
    return Vector2.new(math.cos(angle) * v.X - math.sin(angle) * v.Y, math.sin(angle) * v.X + math.cos(angle) * v.Y)
end

-- ========== ESP SYSTEM ==========
local ESPData = {}

local function NewLine()
    local s, l = pcall(Drawing.new, "Line")
    if s and l then
        l.Color = C3(Settings.ESPColor)
        l.Thickness = 1.5
        l.Transparency = 1
        l.Visible = false
        return l
    end
end

local function NewText(size)
    local s, t = pcall(Drawing.new, "Text")
    if s and t then
        t.Color = C3(Settings.ESPColor)
        t.Size = size or 13
        t.Font = Drawing.Fonts.UI
        t.Outline = true
        t.OutlineColor = Color3.new(0, 0, 0)
        t.Visible = false
        t.Center = true
        return t
    end
end

local function CreateESP(player)
    if ESPData[player] then return end
    local esp = {
        BoxLines = {},
        CornerLines = {},
        Box3DLines = {},
        SkeletonLines = {},
    }
    for i = 1, 4 do table.insert(esp.BoxLines, NewLine()) end
    for i = 1, 8 do table.insert(esp.CornerLines, NewLine()) end
    for i = 1, 12 do table.insert(esp.Box3DLines, NewLine()) end
    for i = 1, 6 do table.insert(esp.SkeletonLines, NewLine()) end

    esp.NameText = NewText(13)
    esp.DistText = NewText(11)
    esp.WeaponText = NewText(11)
    esp.HpBG = NewLine()
    if esp.HpBG then
        esp.HpBG.Color = Color3.new(0, 0, 0)
        esp.HpBG.Thickness = 5
        esp.HpBG.Transparency = 0.6
    end
    esp.HpFill = NewLine()
    if esp.HpFill then esp.HpFill.Thickness = 3 end
    esp.Tracer = NewLine()
